Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	49	49
OG0000001	6	6
OG0000002	11	11
OG0000003	6	6
OG0000004	6	6
OG0000005	7	7
OG0000006	6	6
OG0000007	6	6
OG0000008	4	4
OG0000009	4	4
OG0000010	2	2
OG0000011	5	5
OG0000012	5	5
OG0000013	5	5
OG0000014	3	3
OG0000015	2	2
OG0000016	3	3
OG0000017	4	4
OG0000018	1	1
OG0000019	3	3
OG0000020	2	2
OG0000021	2	2
OG0000022	4	4
OG0000023	4	4
OG0000024	4	4
OG0000025	1	1
OG0000026	1	1
OG0000027	2	2
OG0000028	1	1
OG0000029	1	1
OG0000030	1	1
OG0000031	1	1
OG0000032	1	1
OG0000033	2	2
OG0000034	2	2
OG0000035	2	2
OG0000036	2	2
OG0000037	3	3
OG0000038	1	1
OG0000039	1	1
OG0000040	2	2
OG0000041	1	1
OG0000042	1	1
OG0000043	2	2
OG0000044	1	1
OG0000045	2	2
OG0000046	1	1
OG0000047	3	3
OG0000048	3	3
OG0000049	3	3
OG0000050	3	3
