Orthogroup	Mycoplasma_agalactiae_5632_FP671138	Mycoplasma_genitalium_uid97_L43967	Mycoplasma_hyopneumoniae_AE017243
OG0000506	gi|290752514|emb|CBH40486.1|		
OG0000507		gi|3844718|gb|AAC71345.1|	
OG0000508			gi|71851809|gb|AAZ44417.1|
OG0000509		gi|84626128|gb|AAC71502.2|	
OG0000510	gi|290752851|emb|CBH40826.1|		
OG0000511	gi|290753079|emb|CBH41055.1|		
OG0000512		gi|3845053|gb|AAC72479.1|	
OG0000513			gi|144227566|gb|AAZ44401.2|
OG0000514	gi|290753001|emb|CBH40977.1|		
OG0000515			gi|71851553|gb|AAZ44161.1|
OG0000516	gi|290752773|emb|CBH40748.1|		
OG0000517	gi|290752508|emb|CBH40480.1|		
OG0000518			gi|71851682|gb|AAZ44290.1|
OG0000519			gi|144227494|gb|AAZ44252.2|
OG0000520		gi|3844821|gb|AAC71440.1|	
OG0000521		gi|3844937|gb|AAC71578.1|	
OG0000522	gi|290752405|emb|CBH40376.1|		
OG0000523	gi|290752985|emb|CBH40961.1|		
OG0000524	gi|290752568|emb|CBH40540.1|		
OG0000525	gi|290752767|emb|CBH40742.1|		
OG0000526	gi|290752821|emb|CBH40796.1|		
OG0000527		gi|1045948|gb|AAC71476.1|	
OG0000528			gi|144227651|gb|AAZ44558.2|
OG0000529			gi|144227451|gb|AAZ44164.2|
OG0000530	gi|290752890|emb|CBH40865.1|		
OG0000531	gi|290752504|emb|CBH40476.1|		
OG0000532			gi|144227675|gb|AAZ44607.2|
OG0000533		gi|3844892|gb|AAC71537.1|	
OG0000534		gi|3844964|gb|AAC71603.1|	
OG0000535		gi|3845002|gb|AAC71637.1|	
OG0000536	gi|290752657|emb|CBH40630.1|		
OG0000537			gi|71851839|gb|AAZ44447.1|
OG0000538			gi|71852030|gb|AAZ44638.1|
OG0000539	gi|290752637|emb|CBH40610.1|		
OG0000540	gi|290753009|emb|CBH40985.1|		
OG0000541	gi|290752313|emb|CBH40284.1|		
OG0000542		gi|1045939|gb|AAC71468.1|	
OG0000543	gi|290752702|emb|CBH40676.1|		
OG0000544	gi|290752857|emb|CBH40832.1|		
OG0000545			gi|144227618|gb|AAZ44501.2|
OG0000546	gi|290752291|emb|CBH40262.1|		
OG0000547		gi|3844965|gb|AAC71604.1|	
OG0000548		gi|3844969|gb|AAC71608.1|	
OG0000549			gi|144227466|gb|AAZ44187.2|
OG0000550	gi|290752848|emb|CBH40823.1|		
OG0000551			gi|144227748|gb|AAZ44751.2|
OG0000552	gi|290752939|emb|CBH40914.1|		
OG0000553	gi|290752967|emb|CBH40942.1|		
OG0000554	gi|290752665|emb|CBH40638.1|		
OG0000555	gi|290752413|emb|CBH40384.1|		
OG0000556	gi|290752306|emb|CBH40277.1|		
OG0000557	gi|290752769|emb|CBH40744.1|		
OG0000558			gi|144227631|gb|AAZ44526.2|
OG0000559			gi|71851863|gb|AAZ44471.1|
OG0000560		gi|3844818|gb|AAC71437.1|	
OG0000561		gi|84626133|gb|AAC71526.2|	
OG0000562			gi|144227624|gb|AAZ44515.2|
OG0000563	gi|290752462|emb|CBH40434.1|		
OG0000564	gi|290752477|emb|CBH40449.1|		
OG0000565	gi|290752621|emb|CBH40594.1|		
OG0000566	gi|290752345|emb|CBH40316.1|		
OG0000567			gi|144227522|gb|AAZ44315.2|
OG0000568	gi|290752852|emb|CBH40827.1|		
OG0000569		gi|3844971|gb|AAC71609.1|	
OG0000570	gi|290752455|emb|CBH40427.1|		
