HOG	OG	Gene Tree Parent Clade	Mycoplasma_agalactiae_5632_FP671138	Mycoplasma_genitalium_uid97_L43967	Mycoplasma_hyopneumoniae_AE017243
N1.HOG0000000	OG0000000	n0	gi|290752286|emb|CBH40257.1|, gi|290752287|emb|CBH40258.1|, gi|290752289|emb|CBH40260.1|, gi|290752399|emb|CBH40370.1|, gi|290752409|emb|CBH40380.1|, gi|290752415|emb|CBH40386.1|, gi|290752495|emb|CBH40467.1|, gi|290752500|emb|CBH40472.1|, gi|290752501|emb|CBH40473.1|, gi|290752503|emb|CBH40475.1|, gi|290752505|emb|CBH40477.1|, gi|290752512|emb|CBH40484.1|, gi|290752617|emb|CBH40590.1|, gi|290752622|emb|CBH40595.1|, gi|290752638|emb|CBH40611.1|, gi|290752639|emb|CBH40612.1|, gi|290752684|emb|CBH40657.1|, gi|290752688|emb|CBH40662.1|, gi|290752690|emb|CBH40664.1|, gi|290752691|emb|CBH40665.1|, gi|290752692|emb|CBH40666.1|, gi|290752693|emb|CBH40667.1|, gi|290752812|emb|CBH40787.1|, gi|290752813|emb|CBH40788.1|, gi|290752814|emb|CBH40789.1|, gi|290752815|emb|CBH40790.1|, gi|290752816|emb|CBH40791.1|, gi|290752817|emb|CBH40792.1|, gi|290752818|emb|CBH40793.1|, gi|290752966|emb|CBH40941.1|, gi|290752972|emb|CBH40947.1|, gi|290752974|emb|CBH40950.1|, gi|290753029|emb|CBH41005.1|, gi|290753030|emb|CBH41006.1|, gi|290753031|emb|CBH41007.1|, gi|290753032|emb|CBH41008.1|, gi|290753033|emb|CBH41009.1|, gi|290753034|emb|CBH41010.1|, gi|290753035|emb|CBH41011.1|, gi|290753036|emb|CBH41012.1|, gi|290753037|emb|CBH41013.1|, gi|290753040|emb|CBH41016.1|, gi|290753041|emb|CBH41017.1|, gi|290753042|emb|CBH41018.1|, gi|290753043|emb|CBH41019.1|, gi|290753044|emb|CBH41020.1|, gi|290753045|emb|CBH41021.1|, gi|290753046|emb|CBH41022.1|, gi|290753052|emb|CBH41028.1|, gi|290753064|emb|CBH41040.1|		
N1.HOG0000001	OG0000001	n0	gi|290752288|emb|CBH40259.1|, gi|290752368|emb|CBH40339.1|, gi|290752419|emb|CBH40390.1|, gi|290752473|emb|CBH40445.1|, gi|290752611|emb|CBH40583.1|, gi|290752636|emb|CBH40609.1|, gi|290752643|emb|CBH40616.1|, gi|290752719|emb|CBH40693.1|, gi|290752768|emb|CBH40743.1|, gi|290752799|emb|CBH40774.1|, gi|290752811|emb|CBH40786.1|, gi|290752820|emb|CBH40795.1|, gi|290752970|emb|CBH40945.1|, gi|290753018|emb|CBH40994.1|, gi|290753048|emb|CBH41024.1|		
N1.HOG0000002	OG0000003	n0	gi|290752269|emb|CBH40240.1|, gi|290752270|emb|CBH40241.1|, gi|290752414|emb|CBH40385.1|, gi|290752490|emb|CBH40462.1|, gi|290752766|emb|CBH40741.1|	gi|1046010|gb|AAC71532.1|, gi|3844907|gb|AAC71551.1|, gi|3844927|gb|AAC71569.1|	
N1.HOG0000003	OG0000004	n0	gi|290752895|emb|CBH40870.1|, gi|290752904|emb|CBH40879.1|, gi|290752905|emb|CBH40880.1|, gi|290752906|emb|CBH40881.1|, gi|290752907|emb|CBH40882.1|, gi|290752910|emb|CBH40885.1|, gi|290752911|emb|CBH40886.1|		
N1.HOG0000004	OG0000008	n0	gi|290752278|emb|CBH40249.1|, gi|290752421|emb|CBH40392.1|, gi|290752422|emb|CBH40393.1|, gi|290752502|emb|CBH40474.1|, gi|290753065|emb|CBH41041.1|		
N1.HOG0000005	OG0000009	n0	gi|290752539|emb|CBH40511.1|, gi|290752565|emb|CBH40537.1|, gi|290752566|emb|CBH40538.1|		
N1.HOG0000006	OG0000010	n0	gi|290752559|emb|CBH40531.1|, gi|290752576|emb|CBH40548.1|, gi|290752737|emb|CBH40712.1|, gi|290752921|emb|CBH40896.1|	gi|3844741|gb|AAC71366.1|	
N1.HOG0000007	OG0000011	n0	gi|290752564|emb|CBH40536.1|, gi|290752608|emb|CBH40580.1|, gi|290752609|emb|CBH40581.1|, gi|290752640|emb|CBH40613.1|, gi|290752741|emb|CBH40716.1|, gi|290752916|emb|CBH40891.1|		
N1.HOG0000008	OG0000014	n0		gi|3844981|gb|AAC71618.1|	
N1.HOG0000009	OG0000015	n0	gi|290753081|emb|CBH41057.1|	gi|1045740|gb|AAC71283.1|, gi|3845062|gb|AAC72487.1|, gi|3845064|gb|AAC72489.1|	
